reference	sample	size	ex.itsx	ex.wirt	ex.lichen	ex.fun	ex.liquenicola	ex.tra
ITA87PB02DXKXT	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EW87S	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D7WB3	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DQNN3	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DEVWG	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02CYLKW	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02D1TW0	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C76B2	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DP33K	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EFB3R	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DPKQF	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C5YJZ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C48S9	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DH7HC	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EHD77	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02C4UF5	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ENW4J	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DIORZ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EJVHQ	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EEKSR	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EMI0R	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02D843T	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EEY0W	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02CXGVU	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D49P6	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C08TB	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C1I63	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DBXJK	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02C0685	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DS5UM	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C8I6K	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EO1TR	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EPVAU	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EMH1L	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DPJFF	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DWJ4P	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DSJ5A	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EP3VI	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DZI2R	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DSP85	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EI9CU	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02CWOS0	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DQ0D3	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02DUXTV	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C5CEA	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DMW32	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C3658	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EV71I	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D9WE3	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D4J5H	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EKEJY	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DM7W3	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DZ0OU	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D8PRG	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DS2UH	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DZLL1	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C6Z42	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02ETA2K	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EBP9A	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DPFP4	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EE4OR	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ED3PZ	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02D2CG0	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DV9JE	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
